sound_id,poem_id,title,author,original_phrase,original_phrase_en,sound_source_raw,sound_source_en,context_window,sound_category,location_raw,location_en,location_type,perception_modality,perception_reality,is_negated,extraction_method,sound_confidence_score,lng,lat,certainty,dynasty
snd_55ea409e,tang_风雨_李_0015,风雨,李商隐,管弦,pipes and strings,管弦,musical instruments,青楼自管弦,Instrument,青楼,green mansions (brothel),micro_space,implied,real,FALSE,LLM,0.9,114.1827065,29.8976845,T,Tang
snd_5b708d34,tang_隋宫_李_0017,隋宫,李商隐,有暮鸦,have evening crows,暮鸦,evening crows,终古垂杨有暮鸦,Animal,垂杨,drooping willows,micro_space,implied,real,FALSE,LLM,0.9,119.419107,32.39986,T,Tang
snd_8dbd15b4,tang_无题二首 一_李_0019,无题二首 一,李商隐,听鼓,hear the drum,鼓,drum,嗟余听鼓应官去,Environment,画楼西畔桂堂东,"west of the painted bower, east of the cassia hall",micro_space,direct,real,FALSE,LLM,0.95,113.774691,34.223034,T,Tang
snd_1f770e09,tang_无题四首 一_李_0020,无题四首 一,李商隐,五更钟,dawn bell,钟,bell,月斜楼上五更钟,Environment,楼上,upstairs,micro_space,direct,real,FALSE,LLM,0.9,,,,Tang
snd_ba98c52a,tang_无题四首 一_李_0020,无题四首 一,李商隐,啼难唤,crying hard to call,啼,crying,梦为远别啼难唤,Human,,,,implied,dream,FALSE,LLM,0.8,,,,Tang
snd_437703a5,tang_无题四首 二_李_0021,无题四首 二,李商隐,飒飒东风细雨来,soughing east wind with fine rain coming,东风,east wind,飒飒东风细雨来,Nature,芙蓉塘外,outside the lotus pond,micro_space,direct,real,FALSE,LLM,0.95,,,,Tang
snd_3e11347a,tang_无题四首 二_李_0021,无题四首 二,李商隐,有轻雷,there is light thunder,轻雷,light thunder,芙蓉塘外有轻雷,Nature,芙蓉塘外,outside the lotus pond,micro_space,direct,real,FALSE,LLM,0.95,,,,Tang
snd_f16cfdda,tang_无题_李_0025,无题,李商隐,夜吟,night recitation,吟,recitation,夜吟应觉月光寒,Human,,,,implied,imagination,FALSE,LLM,0.8,109.4378865,32.947773,T,Tang
snd_d071109e,tang_瑶池_李_0026,瑶池,李商隐,歌声,singing voice,歌声,singing voice,黄竹歌声动地哀,Human,黄竹,Yellow Bamboo,toponym,implied,real,FALSE,LLM,0.9,108.946306,34.347436,T,Tang
snd_6c0d7dfc,tang_无题二首 一_李_0029,无题二首 一,李商隐,车走雷声,carriage moves like thunder sound,车,carriage,车走雷声语未通,Environment,,,,implied,real,FALSE,LLM,0.9,113.774691,34.223034,T,Tang
snd_cfe8811b,tang_北青萝_李_0033,北青萝,李商隐,独敲初夜磬,alone striking the evening chime stone,磬,chime stone,独敲初夜磬,Instrument,茅屋,thatched hut,micro_space,implied,real,FALSE,LLM,0.9,112.27,35.14,T,Tang
snd_3a6b67b7,tang_章台夜思_韦_0035,章台夜思,韦庄,清瑟怨遥夜,clear zither resents the distant night,瑟,zither,清瑟怨遥夜，遶弦风雨哀。,Instrument,,,,implied,real,FALSE,LLM,0.9,112.625,30.242,T,Tang
snd_8cf8a2a2,tang_章台夜思_韦_0035,章台夜思,韦庄,遶弦风雨哀,around the strings wind and rain mourn,风雨,wind and rain,清瑟怨遥夜，遶弦风雨哀。,Nature,,,,implied,real,FALSE,LLM,0.85,112.625,30.242,T,Tang
snd_3b4ca4b5,tang_宫词_薛_0038,宫词,薛逢,水滴铜龙昼漏长,"water drips from the bronze dragon, the day clock is long",水滴铜龙,water dripping on bronze dragon,锁衔金兽连环冷，水滴铜龙昼漏长。,Environment,十二楼中,in the twelve towers,micro_space,implied,real,FALSE,LLM,0.9,,,,Tang
snd_edcb4090,tang_灞上秋居_马_0040,灞上秋居,马戴,白露滴,white dew drips,白露,white dew,空园白露滴,Nature,空园,empty garden,micro_space,implied,real,FALSE,LLM,0.7,109.0809,34.315,T,Tang
snd_11cddde9,tang_春怨_金_0043,春怨,金昌绪,打起黄莺儿,drive away the oriole,黄莺儿,oriole,打起黄莺儿,Animal,,,,implied,real,FALSE,LLM,0.9,,,,Tang
snd_29b69e8e,tang_春怨_金_0043,春怨,金昌绪,莫教枝上啼,don't let it sing on the branch,黄莺儿,oriole,莫教枝上啼,Animal,枝上,on the branch,micro_space,implied,real,FALSE,LLM,0.95,,,,Tang
snd_a0761456,tang_春怨_金_0043,春怨,金昌绪,啼时惊妾梦,its singing startles my dream,黄莺儿,oriole,啼时惊妾梦,Animal,,,,direct,dream,FALSE,LLM,0.9,,,,Tang
snd_f95e7ea0,tang_杂诗 十三_无_0049,杂诗 十三,无名氏,杜鹃休向耳边啼,"cuckoo, stop crying by my ear",杜鹃,cuckoo,杜鹃休向耳边啼,Animal,耳边,by the ear,micro_space,direct,real,FALSE,LLM,0.95,,,,Tang
snd_da0464a1,tang_古意呈补阙乔知之_沈_0051,古意呈补阙乔知之,沈佺期,寒砧催木叶,cold anvil urges the falling leaves,砧,anvil (for washing clothes),九月寒砧催木叶,Environment,,,,implied,real,FALSE,LLM,0.9,112.460033,34.624376,T,Tang
snd_dcc3da2b,tang_青谿_王_0056,青谿,王维,声喧乱石中,sound clamors among the rocks,水,water,声喧乱石中,Nature,乱石中,among the rocks,micro_space,direct,real,FALSE,LLM,0.95,108.946306,34.347436,T,Tang
snd_59698ec6,tang_渭川田家_王_0057,渭川田家,王维,雉雊,pheasant calls,雉,pheasant,雉雊麦苗秀,Animal,麦苗,wheat fields,micro_space,implied,real,FALSE,LLM,0.9,108.94,34.34,T,Tang
snd_827ce168,tang_渭川田家_王_0057,渭川田家,王维,语依依,talk reluctantly,田夫,farmers,田夫荷锄至，相见语依依,Human,田,fields,micro_space,implied,real,FALSE,LLM,0.85,108.94,34.34,T,Tang
snd_00a1574d,tang_渭川田家_王_0057,渭川田家,王维,吟式微,chant 'Decline',诗人,poet,怅然吟式微,Human,,,,implied,real,FALSE,LLM,0.8,108.94,34.34,T,Tang
snd_b537d108,tang_老将行_王_0059,老将行,王维,汉兵奋迅如霹雳,Han soldiers advance swiftly like thunderbolt,霹雳,thunderbolt,汉兵奋迅如霹雳,Nature,,,,implied,real,FALSE,LLM,0.9,108.946306,34.347436,T,Tang
snd_5764924e,tang_老将行_王_0059,老将行,王维,耻令越甲鸣吴军,Ashamed to let the Yue armor clatter in Wu army,鸣,clatter,耻令越甲鸣吴军,Environment,,,,implied,imagination,FALSE,LLM,0.7,108.946306,34.347436,T,Tang
snd_ea65d44e,tang_桃源行_王_0060,桃源行,王维,鸡犬喧,chickens and dogs clamor,鸡犬,chickens and dogs,日出云中鸡犬喧,Animal,云中,in the clouds,micro_space,direct,real,FALSE,LLM,0.9,108.946306,34.347436,T,Tang
snd_388cf3d3,tang_桃源行_王_0060,桃源行,王维,惊闻,startled to hear,俗客,mundane visitors,惊闻俗客争来集,Human,,,,direct,real,FALSE,LLM,0.8,108.946306,34.347436,T,Tang
snd_934b77c0,tang_桃源行_王_0060,桃源行,王维,争来集,compete to gather,俗客,mundane visitors,惊闻俗客争来集,Human,,,,implied,real,FALSE,LLM,0.6,108.946306,34.347436,T,Tang
snd_d6d5d9f8,tang_洛阳女儿行_王_0061,洛阳女儿行,王维,理曲,practice music,曲,music,戏罢曾无理曲时,Instrument,,,,implied,real,TRUE,LLM,0.6,112.454,34.6197,T,Tang
snd_7f784aab,tang_辋川闲居赠裴秀才迪_王_0062,辋川闲居赠裴秀才迪,王维,听暮蝉,listen to evening cicadas,暮蝉,evening cicadas,临风听暮蝉,Animal,柴门外,outside the wicker gate,micro_space,direct,real,FALSE,LLM,0.95,109.3637,34.0538,T,Tang
snd_75a1bfb5,tang_辋川闲居赠裴秀才迪_王_0062,辋川闲居赠裴秀才迪,王维,狂歌,wildly singing,接舆,Jieyu (a madman),狂歌五柳前,Human,五柳前,in front of the Five Willows,micro_space,implied,real,FALSE,LLM,0.85,109.3637,34.0538,T,Tang
snd_d6677a67,tang_酬张少府_王_0063,酬张少府,王维,弹琴,play the zither,琴,zither,山月照弹琴,Instrument,山,mountain,micro_space,implied,real,FALSE,LLM,0.9,108.946306,34.347436,T,Tang
snd_be24eaf2,tang_酬张少府_王_0063,酬张少府,王维,渔歌,fisherman's song,渔歌,fisherman's song,渔歌入浦深,Human,浦,creek,micro_space,implied,real,FALSE,LLM,0.9,108.946306,34.347436,T,Tang
snd_3d7d26e0,tang_送梓州李使君_王_0064,送梓州李使君,王维,一夜雨,night rain,雨,rain,山中一夜雨,Nature,山中,in the mountains,micro_space,implied,real,FALSE,LLM,0.8,105.096,31.0943,T,Tang
snd_6d8ce5af,tang_山石_韩_0066,山石,韩愈,百虫绝,all insects cease,百虫,insects,夜深静卧百虫绝,Animal,寺,temple,micro_space,implied,real,TRUE,LLM,0.9,111.630105,34.5751885,T,Tang
snd_4ee1eaa6,tang_山石_韩_0066,山石,韩愈,水声激激,water sounds gurgling,水,water,当流赤足蹋涧石，水声激激风吹衣,Nature,涧,mountain stream,micro_space,direct,real,FALSE,LLM,1,111.630105,34.5751885,T,Tang
snd_aee51a1c,tang_八月十五夜赠张功曹_韩_0067,八月十五夜赠张功曹,韩愈,声影绝,sounds and shadows cease,声,sound,沙平水息声影绝,Environment,沙平水息,"flat sand, still water",micro_space,direct,real,TRUE,LLM,0.9,113.021311,25.776711,T,Tang
snd_c6c1418a,tang_八月十五夜赠张功曹_韩_0067,八月十五夜赠张功曹,韩愈,君当歌,you should sing,君,you (the addressee),一桮相属君当歌,Human,,,,implied,imagination,FALSE,LLM,0.8,113.021311,25.776711,T,Tang
snd_cbee8cb3,tang_八月十五夜赠张功曹_韩_0067,八月十五夜赠张功曹,韩愈,君歌声酸,your song's sound is sour,君歌,your song,君歌声酸辞且苦,Human,,,,direct,real,FALSE,LLM,0.9,113.021311,25.776711,T,Tang
snd_1794fba1,tang_八月十五夜赠张功曹_韩_0067,八月十五夜赠张功曹,韩愈,不能听终,cannot listen to the end,君歌,your song,不能听终泪如雨,Human,,,,direct,real,TRUE,LLM,0.9,113.021311,25.776711,T,Tang
snd_37356729,tang_八月十五夜赠张功曹_韩_0067,八月十五夜赠张功曹,韩愈,搥大鼓,beat the big drum,大鼓,big drum,昨者州前搥大鼓,Instrument,州前,in front of the prefecture,micro_space,direct,memory,FALSE,LLM,0.9,113.021311,25.776711,T,Tang
snd_b120fe93,tang_八月十五夜赠张功曹_韩_0067,八月十五夜赠张功曹,韩愈,听我歌,listen to my song,我歌,my song,君歌且休听我歌,Human,,,,implied,real,FALSE,LLM,0.8,113.021311,25.776711,T,Tang
snd_22722b1f,tang_谒衡岳庙遂宿岳寺题门楼_韩_0068,谒衡岳庙遂宿岳寺题门楼,韩愈,猿鸣钟动,"monkeys cry, bells ring",猿鸣钟动,monkeys crying and bells ringing,猿鸣钟动不知曙,Animal,佛寺,Buddhist temple,micro_space,direct,real,FALSE,LLM,0.95,112.6898,27.2969,T,Tang
snd_6d1f89ce,tang_春宫怨_杜_0070,春宫怨,杜荀鹤,鸟声碎,birds' voices are fragmented,鸟,birds,风暖鸟声碎,Animal,,,,direct,real,FALSE,LLM,0.95,,,,Tang
snd_817f23ce,tang_近试上张籍水部_朱_0071,近试上张籍水部,朱庆余,低声问,ask in a low voice,新娘,bride,妆罢低声问夫壻,Human,洞房,bridal chamber,micro_space,implied,real,FALSE,LLM,0.9,108.94,34.34,T,Tang
snd_47cd532f,tang_泊秦淮_杜_0074,泊秦淮,杜牧,犹唱后庭花,still singing the Rear Courtyard Flowers,商女,singing girls,商女不知亡国恨，隔江犹唱后庭花。,Human,隔江,across the river,micro_space,implied,real,FALSE,LLM,0.95,118.7947,32.0391,T,Tang
snd_95a28abe,tang_旅宿_杜_0080,旅宿,杜牧,断鴈警愁眠,broken wild geese alarm the sorrowful sleep,断鴈,broken wild geese,断鴈警愁眠,Animal,,,,implied,real,FALSE,LLM,0.9,,,,Tang
snd_07626265,tang_早秋三首 一_许_0081,早秋三首 一,许浑,泛清瑟,playing the clear zither,瑟,zither,遥夜泛清瑟,Instrument,,,,implied,real,FALSE,LLM,0.9,119.44,32.18,T,Tang
snd_868ecb3f,tang_秋日赴阙题潼关驿楼_许_0082,秋日赴阙题潼关驿楼,许浑,红叶晚萧萧,red leaves rustle in the evening,红叶,red leaves,红叶晚萧萧,Nature,长亭,long pavilion,micro_space,direct,real,FALSE,LLM,0.9,110.2473,34.5443,T,Tang
snd_8232824e,tang_颂古三十二首  其二三_释_0085,颂古三十二首  其二三,释明辩,打起黄莺儿,beat up the oriole,黄莺儿,oriole,打起黄莺儿,Animal,枝上,on the branch,micro_space,implied,real,FALSE,LLM,0.9,,,,Tang
snd_541c98d2,tang_颂古三十二首  其二三_释_0085,颂古三十二首  其二三,释明辩,莫教枝上啼,don't let it sing on the branch,黄莺儿,oriole,莫教枝上啼,Animal,枝上,on the branch,micro_space,implied,real,FALSE,LLM,0.95,,,,Tang
snd_b19ebe26,tang_后宫词_白_0086,后宫词,白居易,按歌声,sound of singing accompanied by music,歌声,singing voice,夜深前殿按歌声,Human,前殿,front hall,micro_space,implied,real,FALSE,LLM,0.9,,,,Tang
snd_acb9f4a0,tang_喜见外弟又言别_李_0087,喜见外弟又言别,李益,语罢暮天钟,"after speaking, the evening bell",钟,bell,别来沧海事，语罢暮天钟。,Environment,暮天,evening sky,micro_space,implied,real,FALSE,LLM,0.9,112.45,34.62,F,Tang
snd_641cfe52,tang_听筝_李_0090,听筝,李端,鸣筝,sounding zither,筝,zither,鸣筝金粟柱,Instrument,玉房前,in front of the jade chamber,micro_space,direct,real,FALSE,LLM,0.95,,,,Tang
snd_d7079c7b,tang_听筝_李_0090,听筝,李端,误拂弦,mistakenly pluck the strings,弦,strings,时时误拂弦,Instrument,,,,implied,real,FALSE,LLM,0.8,,,,Tang
snd_4c0e5986,tang_听弹琴_刘_0094,听弹琴,刘长卿,泠泠七丝上,clear and cold sound from the seven strings,七丝,seven strings (of a zither),泠泠七丝上,Instrument,,,,direct,real,FALSE,LLM,0.9,120.58,31.3,T,Tang
snd_9b633d9a,tang_听弹琴_刘_0094,听弹琴,刘长卿,静听松风寒,quietly listening to the cold wind in the pines,松风,wind in the pines,静听松风寒,Nature,松,pines,micro_space,direct,real,FALSE,LLM,0.95,120.58,31.3,T,Tang
snd_0a7ac0bc,tang_听弹琴_刘_0094,听弹琴,刘长卿,今人多不弹,nowadays people mostly do not play,弹,play (the zither),今人多不弹,Instrument,,,,implied,real,TRUE,LLM,0.85,120.58,31.3,T,Tang
snd_a48f5a9f,tang_秋日登吴公台上寺远眺寺即陈将吴明彻战场_刘_0098,秋日登吴公台上寺远眺寺即陈将吴明彻战场,刘长卿,寒磬满空林,cold chime fills the empty forest,磬,chime (Buddhist stone or metal percussion),夕阳依旧垒，寒磬满空林。,Instrument,空林,empty forest,micro_space,implied,real,FALSE,LLM,0.9,119.4,32.428,T,Tang
snd_4c3c3b6d,tang_江州重别薛六柳八二员外_刘_0101,江州重别薛六柳八二员外,刘长卿,学醉歌,learn drunken songs,歌,song,世事空知学醉歌,Human,,,,implied,imagination,FALSE,LLM,0.8,115.9944,29.7213,T,Tang
snd_ef49516f,tang_长沙过贾谊宅_刘_0102,长沙过贾谊宅,刘长卿,寂寂,"silent, silent",江山,rivers and mountains,寂寂江山摇落处,Environment,江山摇落处,where the rivers and mountains are desolate,implied,implied,real,FALSE,LLM,0.8,112.9663,28.196,T,Tang
snd_ea26f209,tang_自夏口至鹦鹉洲夕望岳阳寄源中丞_刘_0103,自夏口至鹦鹉洲夕望岳阳寄源中丞,刘长卿,寒吹角,cold blowing of horn,角,horn,孤城背岭寒吹角,Instrument,孤城,lonely city,micro_space,implied,real,FALSE,LLM,0.9,114.2847,30.5719,T,Tang
snd_60f32972,tang_赋得_刘_0104,赋得,刘长卿,莺啼燕语,orioles chirping and swallows twittering,莺燕,orioles and swallows,莺啼燕语报新年,Animal,,,,direct,real,FALSE,LLM,0.95,,,,Tang
snd_1da507c1,tang_凉州词二首 一_王_0106,凉州词二首 一,王翰,琵琶马上催,lute on horseback urges,琵琶,lute (pipa),欲饮琵琶马上催,Instrument,马上,on horseback,micro_space,implied,real,FALSE,LLM,0.9,102.6238,37.9278,T,Tang
snd_5c995276,tang_夏日南亭怀辛大_孟_0108,夏日南亭怀辛大,孟浩然,竹露滴清响,bamboo dew drips with clear sound,竹露,bamboo dew,竹露滴清响,Nature,南亭,south pavilion,implied,direct,real,FALSE,LLM,0.9,112.1,31.99,T,Tang
snd_c5db1ddb,tang_夏日南亭怀辛大_孟_0108,夏日南亭怀辛大,孟浩然,欲取鸣琴弹,want to take the sounding zither and play,鸣琴,sounding zither,欲取鸣琴弹,Instrument,南亭,south pavilion,implied,implied,imagination,FALSE,LLM,0.8,112.1,31.99,T,Tang
snd_3ae8f47b,tang_宿业师山房期丁大不至_孟_0109,宿业师山房期丁大不至,孟浩然,风泉满清听,wind and springs fill the clear hearing,风泉,wind and springs,松月生夜凉，风泉满清听。,Nature,山房,mountain retreat,implied,direct,real,FALSE,LLM,0.95,112.1,31.99,F,Tang
snd_60a393a2,tang_宿业师山房期丁大不至_孟_0109,宿业师山房期丁大不至,孟浩然,孤琴候萝迳,lonely zither awaits on the vine path,琴,zither,之子期宿来，孤琴候萝迳。,Instrument,萝迳,vine path,micro_space,implied,imagination,FALSE,LLM,0.7,112.1,31.99,F,Tang
snd_963f7ae3,tang_夜归鹿门山歌_孟_0110,夜归鹿门山歌,孟浩然,钟鸣,bell rings,钟,bell,山寺钟鸣昼已昏,Environment,山寺,mountain temple,micro_space,direct,real,FALSE,LLM,1,112.15,31.91,T,Tang
snd_a833de47,tang_夜归鹿门山歌_孟_0110,夜归鹿门山歌,孟浩然,寂寥,quiet and desolate,岩扉松径,stone door and pine path,岩扉松径长寂寥,Environment,岩扉松径,stone door and pine path,micro_space,implied,real,TRUE,LLM,0.9,112.15,31.91,T,Tang
snd_00bcf2aa,tang_秦中感秋寄远上人_孟_0112,秦中感秋寄远上人,孟浩然,闻蝉,hear cicadas,蝉,cicadas,闻蝉但益悲,Animal,,,,direct,real,FALSE,LLM,0.95,108.94,34.34,T,Tang
snd_3ab2752e,tang_宿桐庐江寄广陵旧游_孟_0113,宿桐庐江寄广陵旧游,孟浩然,闻猿愁,hear the sorrowful monkeys,猿,monkeys,山暝闻猿愁,Animal,山,mountain,micro_space,direct,real,FALSE,LLM,0.95,119.67,29.79,T,Tang
snd_6fe83798,tang_宿桐庐江寄广陵旧游_孟_0113,宿桐庐江寄广陵旧游,孟浩然,风鸣两岸叶,wind whistles through leaves on both banks,风,wind,风鸣两岸叶,Nature,两岸,both banks,micro_space,direct,real,FALSE,LLM,0.95,119.67,29.79,T,Tang
snd_aa2cfb78,tang_春晓_孟_0121,春晓,孟浩然,闻啼鸟,hear birds singing,啼鸟,singing birds,处处闻啼鸟,Animal,处处,everywhere,micro_space,direct,real,FALSE,LLM,1,112.28,31.94,T,Tang
snd_54528dd6,tang_春晓_孟_0121,春晓,孟浩然,风雨声,sound of wind and rain,风雨,wind and rain,夜来风雨声,Nature,,,,implied,memory,FALSE,LLM,1,112.28,31.94,T,Tang
snd_fc87ba9a,tang_蜀道难_李_0123,蜀道难,李白,以手抚膺坐长叹,"sitting with a long sigh, patting chest with hand",长叹,long sigh,扪参历井仰胁息，以手抚膺坐长叹。,Human,,,,direct,real,FALSE,LLM,0.9,111.0979875,33.653807,T,Tang
snd_5ba9dcb1,tang_蜀道难_李_0123,蜀道难,李白,悲鸟号古木,sad birds cry on ancient trees,悲鸟,sad birds,但见悲鸟号古木，雄飞雌从绕林间。,Animal,古木,ancient trees,micro_space,direct,real,FALSE,LLM,0.95,111.0979875,33.653807,T,Tang
snd_5ac048ea,tang_蜀道难_李_0123,蜀道难,李白,飞湍瀑流争喧豗,flying rapids and waterfalls compete in roaring,飞湍瀑流,flying rapids and waterfalls,飞湍瀑流争喧豗，砅厓转石万壑雷。,Nature,,,,direct,real,FALSE,LLM,0.9,111.0979875,33.653807,T,Tang
snd_798ba5e4,tang_蜀道难_李_0123,蜀道难,李白,砅厓转石万壑雷,"water hitting cliffs, rolling stones, thunder in ten thousand valleys",砅厓转石,water hitting cliffs and rolling stones,飞湍瀑流争喧豗，砅厓转石万壑雷。,Nature,万壑,ten thousand valleys,micro_space,direct,real,FALSE,LLM,0.9,111.0979875,33.653807,T,Tang
snd_607e788b,tang_蜀道难_李_0123,蜀道难,李白,侧身西望长咨嗟,turn sideways to look west and give a long sigh,长咨嗟,long sigh,蜀道之难难于上青天，侧身西望长咨嗟。,Human,,,,direct,real,FALSE,LLM,0.9,111.0979875,33.653807,T,Tang
snd_5a636f88,tang_将进酒_李_0124,将进酒,李白,与君歌一曲,sing a song for you,歌,song,与君歌一曲，请君为我侧耳听。,Human,,,,implied,real,FALSE,LLM,0.9,113.014821,34.523694,T,Tang
snd_79393a72,tang_将进酒_李_0124,将进酒,李白,侧耳听,listen attentively,听,listening,与君歌一曲，请君为我侧耳听。,Human,,,,direct,real,FALSE,LLM,0.95,113.014821,34.523694,T,Tang
snd_9c67093a,tang_将进酒_李_0124,将进酒,李白,钟鼓,bells and drums,钟鼓,bells and drums,钟鼓馔玉不足贵，但愿长醉不愿醒。,Instrument,,,,implied,real,FALSE,LLM,0.85,113.014821,34.523694,T,Tang
snd_f49644ff,tang_春宫怨_杜_0125,春宫怨,杜荀鹤,鸟声碎,birds' voices are fragmented,鸟,birds,风暖鸟声碎,Animal,,,,direct,real,FALSE,LLM,0.95,,,,Tang
snd_0335a4f9,tang_客夜与故人偶集_戴_0126,客夜与故人偶集,戴叔伦,风枝惊暗鹊,wind startles dark magpies on branches,鹊,magpies,风枝惊暗鹊,Animal,枝,branches,micro_space,implied,real,FALSE,LLM,0.8,,,,Tang
snd_ff484ac8,tang_客夜与故人偶集_戴_0126,客夜与故人偶集,戴叔伦,露草覆寒蛩,dew-covered grass hides cold crickets,蛩,crickets,露草覆寒蛩,Animal,露草,dew-covered grass,micro_space,implied,real,FALSE,LLM,0.7,,,,Tang
snd_e9b7faa2,tang_客夜与故人偶集_戴_0126,客夜与故人偶集,戴叔伦,相留畏晓钟,"reluctant to part, fearing the dawn bell",晓钟,dawn bell,相留畏晓钟,Environment,,,,implied,imagination,FALSE,LLM,0.9,,,,Tang
snd_04d285a4,tang_晚次鄂州_卢_0131,晚次鄂州,卢纶,舟人夜语,boatmen talking at night,舟人,boatmen,舟人夜语觉潮生,Human,舟,boat,micro_space,direct,real,FALSE,LLM,0.95,114.8948,30.3919,T,Tang
snd_1f049063,tang_晚次鄂州_卢_0131,晚次鄂州,卢纶,鼓鼙声,sound of war drums,鼓鼙,war drums,更堪江上鼓鼙声,Instrument,江上,on the river,micro_space,direct,real,FALSE,LLM,0.95,114.8948,30.3919,T,Tang
snd_649b3fbe,tang_过香积寺_王_0133,过香积寺,王维,泉声咽危石,spring sound chokes on dangerous rocks,泉,spring,泉声咽危石,Nature,危石,dangerous rocks,micro_space,direct,real,FALSE,LLM,0.95,108.8925,34.122,T,Tang
snd_84f38760,tang_过香积寺_王_0133,过香积寺,王维,深山何处钟,deep mountains where bell,钟,bell,深山何处钟,Environment,深山,deep mountains,micro_space,inferred,real,FALSE,LLM,0.9,108.8925,34.122,T,Tang
snd_ed95ffa0,tang_山居秋暝_王_0134,山居秋暝,王维,竹喧,bamboo rustling,竹,bamboo,竹喧归浣女,Nature,竹,bamboo grove,micro_space,implied,real,FALSE,LLM,0.9,109.37,34.13,T,Tang
snd_2f1ec3ce,tang_山居秋暝_王_0134,山居秋暝,王维,清泉石上流,clear spring flows over stones,清泉,clear spring,清泉石上流,Nature,石上,on the stones,micro_space,implied,real,FALSE,LLM,0.8,109.37,34.13,T,Tang
snd_c7489d58,tang_酬郭给事_王_0141,酬郭给事,王维,疎钟,sparse bell,钟,bell,禁里疎钟官舍晚,Environment,禁里,within the palace,micro_space,direct,real,FALSE,LLM,0.9,108.946306,34.347436,T,Tang
snd_a37b0bf3,tang_酬郭给事_王_0141,酬郭给事,王维,啼鸟,singing birds,鸟,birds,省中啼鸟吏人稀,Animal,省中,within the department,micro_space,direct,real,FALSE,LLM,0.95,108.946306,34.347436,T,Tang
snd_8213094d,tang_酬郭给事_王_0141,酬郭给事,王维,摇玉佩,shaking jade pendants,玉佩,jade pendants,晨摇玉佩趋金殿,Environment,金殿,golden hall,micro_space,implied,real,FALSE,LLM,0.85,108.946306,34.347436,T,Tang
snd_0a4df807,tang_积雨辋川庄作_王_0142,积雨辋川庄作,王维,啭黄鹂,orioles warbling,黄鹂,orioles,阴阴夏木啭黄鹂,Animal,夏木,summer trees,micro_space,direct,real,FALSE,LLM,0.95,109.3637,34.0538,T,Tang
snd_39fa8d96,tang_辋川集 竹里馆_王_0144,辋川集 竹里馆,王维,弹琴,play the zither,琴,zither,弹琴复长啸,Instrument,幽篁里,in the deep bamboo grove,micro_space,implied,real,FALSE,LLM,0.95,109.3637,34.0538,T,Tang
