dynasty,title,author,original_phrase,original_phrase_en,sound_source_raw,sound_source_en,context_window,sound_category,perception_reality,is_negated,lng/X,lat/Y,certainty
Tang,渭川田家,王维,吟式微,chant 'Decline',诗人,poet,怅然吟式微,Human,real,FALSE,108.94,34.34,T
Tang,老将行,王维,汉兵奋迅如霹雳,Han soldiers advance swiftly like thunderbolt,霹雳,thunderbolt,汉兵奋迅如霹雳,Nature,real,FALSE,108.946306,34.347436,T
Tang,老将行,王维,耻令越甲鸣吴军,Ashamed to let the Yue armor clatter in Wu army,鸣,clatter,耻令越甲鸣吴军,Environment,imagination,FALSE,108.946306,34.347436,T
Tang,桃源行,王维,鸡犬喧,chickens and dogs clamor,鸡犬,chickens and dogs,日出云中鸡犬喧,Animal,real,FALSE,108.946306,34.347436,T
Tang,桃源行,王维,惊闻,startled to hear,俗客,mundane visitors,惊闻俗客争来集,Human,real,FALSE,108.946306,34.347436,T
Tang,桃源行,王维,争来集,compete to gather,俗客,mundane visitors,惊闻俗客争来集,Human,real,FALSE,108.946306,34.347436,T
Tang,洛阳女儿行,王维,理曲,practice music,曲,music,戏罢曾无理曲时,Instrument,real,TRUE,112.454,34.6197,T
Tang,辋川闲居赠裴秀才迪,王维,听暮蝉,listen to evening cicadas,暮蝉,evening cicadas,临风听暮蝉,Animal,real,FALSE,109.3637,34.0538,T
Tang,辋川闲居赠裴秀才迪,王维,狂歌,wildly singing,接舆,Jieyu (a madman),狂歌五柳前,Human,real,FALSE,109.3637,34.0538,T
Tang,酬张少府,王维,弹琴,play the zither,琴,zither,山月照弹琴,Instrument,real,FALSE,108.946306,34.347436,T
Tang,酬张少府,王维,渔歌,fisherman's song,渔歌,fisherman's song,渔歌入浦深,Human,real,FALSE,108.946306,34.347436,T
Tang,送梓州李使君,王维,一夜雨,night rain,雨,rain,山中一夜雨,Nature,real,FALSE,105.096,31.0943,T
Tang,山石,韩愈,百虫绝,all insects cease,百虫,insects,夜深静卧百虫绝,Animal,real,TRUE,111.630105,34.5751885,T
Tang,山石,韩愈,水声激激,water sounds gurgling,水,water,当流赤足蹋涧石，水声激激风吹衣,Nature,real,FALSE,111.630105,34.5751885,T
Tang,八月十五夜赠张功曹,韩愈,声影绝,sounds and shadows cease,声,sound,沙平水息声影绝,Environment,real,TRUE,113.021311,25.776711,T
Tang,八月十五夜赠张功曹,韩愈,君当歌,you should sing,君,you (the addressee),一桮相属君当歌,Human,imagination,FALSE,113.021311,25.776711,T
Tang,八月十五夜赠张功曹,韩愈,君歌声酸,your song's sound is sour,君歌,your song,君歌声酸辞且苦,Human,real,FALSE,113.021311,25.776711,T
Tang,八月十五夜赠张功曹,韩愈,不能听终,cannot listen to the end,君歌,your song,不能听终泪如雨,Human,real,TRUE,113.021311,25.776711,T
Tang,八月十五夜赠张功曹,韩愈,搥大鼓,beat the big drum,大鼓,big drum,昨者州前搥大鼓,Instrument,memory,FALSE,113.021311,25.776711,T
Tang,八月十五夜赠张功曹,韩愈,听我歌,listen to my song,我歌,my song,君歌且休听我歌,Human,real,FALSE,113.021311,25.776711,T
Tang,谒衡岳庙遂宿岳寺题门楼,韩愈,猿鸣钟动,"monkeys cry, bells ring",猿鸣钟动,monkeys crying and bells ringing,猿鸣钟动不知曙,Animal,real,FALSE,112.6898,27.2969,T
Tang,春宫怨,杜荀鹤,鸟声碎,birds' voices are fragmented,鸟,birds,风暖鸟声碎,Animal,real,FALSE,,,
Tang,近试上张籍水部,朱庆余,低声问,ask in a low voice,新娘,bride,妆罢低声问夫壻,Human,real,FALSE,108.94,34.34,T
Tang,泊秦淮,杜牧,犹唱后庭花,still singing the Rear Courtyard Flowers,商女,singing girls,商女不知亡国恨，隔江犹唱后庭花。,Human,real,FALSE,118.7947,32.0391,T
Tang,旅宿,杜牧,断鴈警愁眠,broken wild geese alarm the sorrowful sleep,断鴈,broken wild geese,断鴈警愁眠,Animal,real,FALSE,,,
Tang,早秋三首 一,许浑,泛清瑟,playing the clear zither,瑟,zither,遥夜泛清瑟,Instrument,real,FALSE,119.44,32.18,T
Tang,秋日赴阙题潼关驿楼,许浑,红叶晚萧萧,red leaves rustle in the evening,红叶,red leaves,红叶晚萧萧,Nature,real,FALSE,110.2473,34.5443,T
Tang,颂古三十二首  其二三,释明辩,打起黄莺儿,beat up the oriole,黄莺儿,oriole,打起黄莺儿,Animal,real,FALSE,,,
Tang,颂古三十二首  其二三,释明辩,莫教枝上啼,don't let it sing on the branch,黄莺儿,oriole,莫教枝上啼,Animal,real,FALSE,,,
Tang,后宫词,白居易,按歌声,sound of singing accompanied by music,歌声,singing voice,夜深前殿按歌声,Human,real,FALSE,,,
Tang,喜见外弟又言别,李益,语罢暮天钟,"after speaking, the evening bell",钟,bell,别来沧海事，语罢暮天钟。,Environment,real,FALSE,112.45,34.62,F
Tang,听筝,李端,鸣筝,sounding zither,筝,zither,鸣筝金粟柱,Instrument,real,FALSE,,,
Tang,听筝,李端,误拂弦,mistakenly pluck the strings,弦,strings,时时误拂弦,Instrument,real,FALSE,,,
Tang,听弹琴,刘长卿,泠泠七丝上,clear and cold sound from the seven strings,七丝,seven strings (of a zither),泠泠七丝上,Instrument,real,FALSE,120.58,31.3,T
Tang,听弹琴,刘长卿,静听松风寒,quietly listening to the cold wind in the pines,松风,wind in the pines,静听松风寒,Nature,real,FALSE,120.58,31.3,T
Tang,听弹琴,刘长卿,今人多不弹,nowadays people mostly do not play,弹,play (the zither),今人多不弹,Instrument,real,TRUE,120.58,31.3,T
Tang,秋日登吴公台上寺远眺寺即陈将吴明彻战场,刘长卿,寒磬满空林,cold chime fills the empty forest,磬,chime (Buddhist stone or metal percussion),夕阳依旧垒，寒磬满空林。,Instrument,real,FALSE,119.4,32.428,T
Tang,江州重别薛六柳八二员外,刘长卿,学醉歌,learn drunken songs,歌,song,世事空知学醉歌,Human,imagination,FALSE,115.9944,29.7213,T
Tang,长沙过贾谊宅,刘长卿,寂寂,"silent, silent",江山,rivers and mountains,寂寂江山摇落处,Environment,real,FALSE,112.9663,28.196,T
Tang,自夏口至鹦鹉洲夕望岳阳寄源中丞,刘长卿,寒吹角,cold blowing of horn,角,horn,孤城背岭寒吹角,Instrument,real,FALSE,114.2847,30.5719,T
Tang,赋得,刘长卿,莺啼燕语,orioles chirping and swallows twittering,莺燕,orioles and swallows,莺啼燕语报新年,Animal,real,FALSE,,,
Tang,凉州词二首 一,王翰,琵琶马上催,lute on horseback urges,琵琶,lute (pipa),欲饮琵琶马上催,Instrument,real,FALSE,102.6238,37.9278,T
Tang,夏日南亭怀辛大,孟浩然,竹露滴清响,bamboo dew drips with clear sound,竹露,bamboo dew,竹露滴清响,Nature,real,FALSE,112.1,31.99,T
Tang,夏日南亭怀辛大,孟浩然,欲取鸣琴弹,want to take the sounding zither and play,鸣琴,sounding zither,欲取鸣琴弹,Instrument,imagination,FALSE,112.1,31.99,T
Tang,宿业师山房期丁大不至,孟浩然,风泉满清听,wind and springs fill the clear hearing,风泉,wind and springs,松月生夜凉，风泉满清听。,Nature,real,FALSE,112.1,31.99,F
Tang,宿业师山房期丁大不至,孟浩然,孤琴候萝迳,lonely zither awaits on the vine path,琴,zither,之子期宿来，孤琴候萝迳。,Instrument,imagination,FALSE,112.1,31.99,F
Tang,夜归鹿门山歌,孟浩然,钟鸣,bell rings,钟,bell,山寺钟鸣昼已昏,Environment,real,FALSE,112.15,31.91,T
Tang,夜归鹿门山歌,孟浩然,寂寥,quiet and desolate,岩扉松径,stone door and pine path,岩扉松径长寂寥,Environment,real,TRUE,112.15,31.91,T
Tang,秦中感秋寄远上人,孟浩然,闻蝉,hear cicadas,蝉,cicadas,闻蝉但益悲,Animal,real,FALSE,108.94,34.34,T
Tang,宿桐庐江寄广陵旧游,孟浩然,闻猿愁,hear the sorrowful monkeys,猿,monkeys,山暝闻猿愁,Animal,real,FALSE,119.67,29.79,T
Tang,宿桐庐江寄广陵旧游,孟浩然,风鸣两岸叶,wind whistles through leaves on both banks,风,wind,风鸣两岸叶,Nature,real,FALSE,119.67,29.79,T
Tang,春晓,孟浩然,闻啼鸟,hear birds singing,啼鸟,singing birds,处处闻啼鸟,Animal,real,FALSE,112.28,31.94,T
Tang,春晓,孟浩然,风雨声,sound of wind and rain,风雨,wind and rain,夜来风雨声,Nature,memory,FALSE,112.28,31.94,T
Tang,蜀道难,李白,以手抚膺坐长叹,"sitting with a long sigh, patting chest with hand",长叹,long sigh,扪参历井仰胁息，以手抚膺坐长叹。,Human,real,FALSE,111.0979875,33.653807,T
Tang,蜀道难,李白,悲鸟号古木,sad birds cry on ancient trees,悲鸟,sad birds,但见悲鸟号古木，雄飞雌从绕林间。,Animal,real,FALSE,111.0979875,33.653807,T
Tang,蜀道难,李白,飞湍瀑流争喧豗,flying rapids and waterfalls compete in roaring,飞湍瀑流,flying rapids and waterfalls,飞湍瀑流争喧豗，砅厓转石万壑雷。,Nature,real,FALSE,111.0979875,33.653807,T
Tang,蜀道难,李白,砅厓转石万壑雷,"water hitting cliffs, rolling stones, thunder in ten thousand valleys",砅厓转石,water hitting cliffs and rolling stones,飞湍瀑流争喧豗，砅厓转石万壑雷。,Nature,real,FALSE,111.0979875,33.653807,T
Tang,蜀道难,李白,侧身西望长咨嗟,turn sideways to look west and give a long sigh,长咨嗟,long sigh,蜀道之难难于上青天，侧身西望长咨嗟。,Human,real,FALSE,111.0979875,33.653807,T
Tang,将进酒,李白,与君歌一曲,sing a song for you,歌,song,与君歌一曲，请君为我侧耳听。,Human,real,FALSE,113.014821,34.523694,T
Tang,将进酒,李白,侧耳听,listen attentively,听,listening,与君歌一曲，请君为我侧耳听。,Human,real,FALSE,113.014821,34.523694,T
Tang,将进酒,李白,钟鼓,bells and drums,钟鼓,bells and drums,钟鼓馔玉不足贵，但愿长醉不愿醒。,Instrument,real,FALSE,113.014821,34.523694,T
Tang,春宫怨,杜荀鹤,鸟声碎,birds' voices are fragmented,鸟,birds,风暖鸟声碎,Animal,real,FALSE,,,
Tang,客夜与故人偶集,戴叔伦,风枝惊暗鹊,wind startles dark magpies on branches,鹊,magpies,风枝惊暗鹊,Animal,real,FALSE,,,
Tang,客夜与故人偶集,戴叔伦,露草覆寒蛩,dew-covered grass hides cold crickets,蛩,crickets,露草覆寒蛩,Animal,real,FALSE,,,
Tang,客夜与故人偶集,戴叔伦,相留畏晓钟,"reluctant to part, fearing the dawn bell",晓钟,dawn bell,相留畏晓钟,Environment,imagination,FALSE,,,
Tang,晚次鄂州,卢纶,舟人夜语,boatmen talking at night,舟人,boatmen,舟人夜语觉潮生,Human,real,FALSE,114.8948,30.3919,T
Tang,晚次鄂州,卢纶,鼓鼙声,sound of war drums,鼓鼙,war drums,更堪江上鼓鼙声,Instrument,real,FALSE,114.8948,30.3919,T
Tang,过香积寺,王维,泉声咽危石,spring sound chokes on dangerous rocks,泉,spring,泉声咽危石,Nature,real,FALSE,108.8925,34.122,T
Tang,过香积寺,王维,深山何处钟,deep mountains where bell,钟,bell,深山何处钟,Environment,real,FALSE,108.8925,34.122,T
Tang,山居秋暝,王维,竹喧,bamboo rustling,竹,bamboo,竹喧归浣女,Nature,real,FALSE,109.37,34.13,T
Tang,山居秋暝,王维,清泉石上流,clear spring flows over stones,清泉,clear spring,清泉石上流,Nature,real,FALSE,109.37,34.13,T
Tang,酬郭给事,王维,疎钟,sparse bell,钟,bell,禁里疎钟官舍晚,Environment,real,FALSE,108.946306,34.347436,T
Tang,酬郭给事,王维,啼鸟,singing birds,鸟,birds,省中啼鸟吏人稀,Animal,real,FALSE,108.946306,34.347436,T
Tang,酬郭给事,王维,摇玉佩,shaking jade pendants,玉佩,jade pendants,晨摇玉佩趋金殿,Environment,real,FALSE,108.946306,34.347436,T
Tang,积雨辋川庄作,王维,啭黄鹂,orioles warbling,黄鹂,orioles,阴阴夏木啭黄鹂,Animal,real,FALSE,109.3637,34.0538,T
Tang,辋川集 竹里馆,王维,弹琴,play the zither,琴,zither,弹琴复长啸,Instrument,real,FALSE,109.3637,34.0538,T
Tang,辋川集 竹里馆,王维,长啸,long whistle,啸,whistle,弹琴复长啸,Human,real,FALSE,109.3637,34.0538,T
Tang,寻西山隐者不遇,丘为,松声,pine sound,松,pine trees,松声晚牕里,Nature,real,FALSE,114.89,30.4,T
Tang,望蓟门,祖咏,箫鼓喧喧,flutes and drums noisy,箫鼓,flutes and drums,箫鼓喧喧汉将营,Instrument,real,FALSE,116.3551,39.9685,T
Tang,古从军行,李颀,刁斗,watchman's rattle,刁斗,watchman's rattle,行人刁斗风沙暗,Environment,real,FALSE,,,
Tang,古从军行,李颀,琵琶幽怨多,lute with much melancholy,琵琶,lute,公主琵琶幽怨多,Instrument,real,FALSE,,,
Tang,古从军行,李颀,胡鴈哀鸣,wild geese cry mournfully,胡鴈,wild geese,胡鴈哀鸣夜夜飞,Animal,real,FALSE,,,
Tang,琴歌,李颀,初弹渌水后楚妃,"first play Green Water, then Chu Concubine",弹,play (zither),初弹渌水后楚妃,Instrument,real,FALSE,108.94,34.34,T
Tang,琴歌,李颀,一声已动物皆静,"one sound already moves, all things become still",一声,one sound (of the zither),一声已动物皆静,Instrument,real,FALSE,108.94,34.34,T
Tang,琴歌,李颀,四座无言,the four seats have no words,无言,no words,四座无言星欲稀,Human,real,TRUE,108.94,34.34,T
Tang,送陈章甫,李颀,嘶马,neighing horse,马,horse,嘶马出门思旧乡,Animal,real,FALSE,112.45,34.62,T
Tang,听安万善吹觱篥歌,李颀,吹觱篥,playing the bili (reed pipe),觱篥,bili (reed pipe),听安万善吹觱篥歌,Instrument,real,FALSE,108.94,34.34,T
Tang,听安万善吹觱篥歌,李颀,傍邻闻者多叹息,neighbors who hear it sigh much,叹息,sighs,傍邻闻者多叹息,Human,real,FALSE,108.94,34.34,T
Tang,听安万善吹觱篥歌,李颀,枯桑老柏寒飕飗,withered mulberries and old cypresses shiver in the cold,飕飗,whistling wind,枯桑老柏寒飕飗,Nature,real,FALSE,108.94,34.34,T
Tang,听安万善吹觱篥歌,李颀,九雏鸣凤乱啾啾,nine young phoenixes chirp in disorder,鸣凤,phoenixes,九雏鸣凤乱啾啾,Animal,real,FALSE,108.94,34.34,T
Tang,听安万善吹觱篥歌,李颀,龙吟虎啸一时发,dragons roar and tigers howl at once,龙吟虎啸,dragon roar and tiger howl,龙吟虎啸一时发,Animal,real,FALSE,108.94,34.34,T
Tang,听安万善吹觱篥歌,李颀,万籁百泉相与秋,all sounds and a hundred springs join in autumn,万籁百泉,all sounds and a hundred springs,万籁百泉相与秋,Nature,real,FALSE,108.94,34.34,T
Tang,听安万善吹觱篥歌,李颀,变调如闻杨柳春,the tune changes as if hearing the Willow Spring song,杨柳春,Willow Spring song,变调如闻杨柳春,Instrument,imagination,FALSE,108.94,34.34,T
Tang,听安万善吹觱篥歌,李颀,美酒一杯声一曲,"a cup of fine wine, one tune of music",声一曲,one tune of music,美酒一杯声一曲,Instrument,real,FALSE,108.94,34.34,T
Tang,古意,李颀,惯弹琵琶,skilled at playing pipa,琵琶,pipa (lute),惯弹琵琶解歌舞,Instrument,real,FALSE,,,
Tang,古意,李颀,羗笛出塞声,Qiang flute playing the tune of leaving the frontier,羗笛,Qiang flute,今为羗笛出塞声,Instrument,real,FALSE,,,
Tang,送魏万之京,李颀,闻游子唱离歌,hear the traveler sing a farewell song,游子,traveler,朝闻游子唱离歌,Human,real,FALSE,112.45,34.62,F
Tang,送魏万之京,李颀,鸿鴈不堪愁里听,cannot bear to hear the wild geese in sorrow,鸿鴈,wild geese,鸿鴈不堪愁里听,Animal,real,FALSE,112.45,34.62,F
Tang,塞下曲四首 一,王昌龄,蝉鸣,cicadas chirp,蝉,cicadas,蝉鸣空桑林,Animal,real,FALSE,106.28,36.01,F
Tang,回乡偶书  其二,贺知章,乡音,native accent,乡音,native accent,乡音难改鬓毛衰,Human,real,FALSE,,,
Tang,长恨歌,白居易,缓歌慢舞凝丝竹,"slow songs and gentle dances, congealed strings and bamboo",丝竹,string and wind instruments,缓歌慢舞凝丝竹，尽日君王看不足。,Instrument,real,FALSE,112.118272,31.9404575,T
Tang,长恨歌,白居易,惊破霓裳羽衣曲,startled and shattered the Rainbow and Feather Garment tune,霓裳羽衣曲,Rainbow and Feather Garment tune,渔阳鞞鼓动地来，惊破霓裳羽衣曲。,Instrument,real,FALSE,112.118272,31.9404575,T
Tang,长恨歌,白居易,迟迟钟鼓初长夜,"slowly the bells and drums, the long night begins",钟鼓,bells and drums,迟迟钟鼓初长夜，耿耿星河欲曙天。,Environment,real,FALSE,112.118272,31.9404575,T
Tang,长恨歌,白居易,金阙西厢叩玉扃,"at the golden palace's west wing, knock on the jade door",叩,knock,金阙西厢叩玉扃，转教小玉报双成。,Environment,real,FALSE,112.118272,31.9404575,T
Tang,长恨歌,白居易,一别音容两渺茫,"once parted, voice and face both distant and vague",音,voice,含情凝睇谢君王，一别音容两渺茫。,Human,memory,TRUE,112.118272,31.9404575,T
Tang,利州南渡,温庭筠,马嘶,horse neighing,马,horse,波上马嘶看櫂去,Animal,real,FALSE,105.8452,32.4339,T
Tang,春宫怨,周朴,鸟声碎,bird sounds are fragmented,鸟,bird,风暖鸟声碎,Animal,real,FALSE,,,
Tang,宫词二首 一,张祜,一声河满子,a single note of 'He Manzi',河满子,He Manzi (a song title),一声河满子,Human,real,FALSE,,,
Tang,宫词,朱庆余,不敢言,dare not speak,美人,beautiful woman,含情欲说宫中事，鹦鹉前头不敢言。,Human,real,TRUE,,,
Tang,石鼓歌,韩愈,鸣相磨,ring and rub against each other,劒佩,swords and pendants,诸侯劒佩鸣相磨,Environment,real,FALSE,112.460033,34.624376,T
Tang,石鼓歌,韩愈,㧑呵,shout and scold,鬼物,ghosts and spirits,鬼物守护烦㧑呵,Human,real,FALSE,112.460033,34.624376,T
Tang,石鼓歌,韩愈,敲火,strike fire,牧童,shepherd boy,牧童敲火牛砺角,Environment,real,FALSE,112.460033,34.624376,T
Tang,石鼓歌,韩愈,吟哦,chant and recite,诗人,poet,六年西顾空吟哦,Human,real,FALSE,112.460033,34.624376,T
Tang,石鼓歌,韩愈,呜呼,alas,诗人,poet,呜呼吾意其蹉跎,Human,real,FALSE,112.460033,34.624376,T
Tang,秋夜曲,王涯,银筝夜久殷勤弄,playing the silver zither diligently late into the night,银筝,silver zither,银筝夜久殷勤弄,Instrument,real,FALSE,,,
Tang,登柳州城楼寄漳汀封连四州,柳宗元,惊风乱飐芙蓉水,startling wind wildly ruffles the lotus water,风,wind,惊风乱飐芙蓉水,Nature,real,FALSE,109.41,24.33,T
Tang,登柳州城楼寄漳汀封连四州,柳宗元,密雨斜侵薜荔墙,dense rain slantingly attacks the wall of ivy,雨,rain,密雨斜侵薜荔墙,Nature,real,FALSE,109.41,24.33,T
Tang,登柳州城楼寄漳汀封连四州,柳宗元,犹自音书滞一乡,"still, letters and news are stranded in one place",音书,letters and news,犹自音书滞一乡,Human,real,TRUE,109.41,24.33,T
Tang,溪居,柳宗元,响溪石,sounds on the creek rocks,溪石,creek rocks,夜榜响溪石,Environment,real,FALSE,111.637622,26.22853,T
Tang,渔翁,柳宗元,欸乃一声,the creak of the oar,欸乃,creak of oar,烟销日出不见人，欸乃一声山水绿。,Environment,real,FALSE,111.637622,26.22853,T
Tang,春望,杜甫,鸟惊心,birds startle the heart,鸟,birds,恨别鸟惊心,Animal,real,FALSE,108.946306,34.347436,T
Tang,春宿左省,杜甫,啾啾栖鸟过,chirping birds passing by,栖鸟,roosting birds,啾啾栖鸟过,Animal,real,FALSE,108.946306,34.347436,T
Tang,春宿左省,杜甫,不寝听金钥,"sleepless, listening for the golden keys",金钥,golden keys,不寝听金钥,Environment,real,FALSE,108.946306,34.347436,T
Tang,春宿左省,杜甫,因风想玉珂,"by the wind, imagining jade pendants",玉珂,jade horse bells,因风想玉珂,Environment,imagination,FALSE,108.946306,34.347436,T
Tang,月夜忆舍弟,杜甫,戍鼓,watchtower drum,鼓,drum,戍鼓断人行,Environment,real,FALSE,105.731276,34.587162,T
Tang,月夜忆舍弟,杜甫,一雁声,a wild goose's cry,雁,wild goose,秋边一雁声,Animal,real,FALSE,105.731276,34.587162,T
Tang,客至,杜甫,呼取,call out to fetch,邻翁,neighbor old man,隔篱呼取尽余桮,Human,real,FALSE,106.7708745,33.2848685,T
Tang,奉济驿重送严公四韵,杜甫,讴歌,singing praises,列郡,various prefectures,列郡讴歌惜,Human,real,FALSE,104.76,31.48,T
Tang,闻官军收河南河北,杜甫,放歌,loudly sing,诗人,the poet,白日放歌须纵酒,Human,imagination,FALSE,105.101082,31.101709,T
Tang,登高,杜甫,猨啸哀,monkeys' mournful cries,猨,monkeys,风急天高猨啸哀,Animal,real,FALSE,107.2858075,31.063135,T
Tang,登高,杜甫,萧萧下,rustling down,落木,falling leaves,无边落木萧萧下,Nature,real,FALSE,107.2858075,31.063135,T
Tang,登高,杜甫,衮衮来,rolling on,长江,Yangtze River,不尽长江衮衮来,Nature,real,FALSE,107.2858075,31.063135,T
Tang,别房太尉墓,杜甫,鸎啼,oriole cries,鸎,oriole,唯见林花落，鸎啼送客闻。,Animal,real,FALSE,106.011555,31.564145,T
Tang,登楼,杜甫,梁甫吟,Liangfu chant,吟,chant,日暮聊为梁甫吟,Human,real,FALSE,108.5793525,29.676739,T
Tang,宿府,杜甫,音书绝,news and letters cut off,音书,news and letters,风尘荏苒音书绝,Human,real,TRUE,104.071216,30.576279,T
Tang,阁夜,杜甫,野哭,wild weeping,野哭,weeping in the wilderness,野哭几家闻战伐,Human,real,FALSE,109.470533,31.024561,T
Tang,阁夜,杜甫,夷歌,barbarian songs,夷歌,barbarian songs,夷歌数处起渔樵,Human,real,FALSE,109.470533,31.024561,T
Tang,咏怀古迹五首 三,杜甫,千载琵琶作胡语,thousand-year pipa plays barbarian language,琵琶,pipa (lute),千载琵琶作胡语,Instrument,imagination,FALSE,109.470533,31.024561,T
Tang,咏怀古迹五首 三,杜甫,分明怨恨曲中论,clearly resentment discussed in the tune,曲,tune,分明怨恨曲中论,Instrument,imagination,FALSE,109.470533,31.024561,T
Tang,江南逢李龟年,杜甫,闻,heard,李龟年（歌唱）,Li Guinian (singing),崔九堂前几度闻,Human,memory,FALSE,118.7674,32.0415,T
Tang,和晋陵陆丞早春游望,杜审言,忽闻歌古调,suddenly hear an ancient tune being sung,歌古调,ancient tune being sung,忽闻歌古调，归思欲沾巾。,Human,real,FALSE,119.9613,31.7815,T
Tang,兵车行,杜甫,车辚辚,carts creak,车,carts,车辚辚，马萧萧,Environment,real,FALSE,108.946306,34.347436,T
